event_id,origin_time,latitude,longitude,depth_km,magnitude,mag_type,p_pick_time,s_pick_time,catalog_source
quakeml:eu.emsc/event/20230219_0000146,2023-02-19T12:16:02.300000Z,37.3,37.02,5.0,2.7,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000143,2023-02-19T12:13:25.200000Z,38.14,36.46,11.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000142,2023-02-19T12:04:33.700000Z,38.26,38.2,5.0,4.6,mw,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000141,2023-02-19T12:02:25.300000Z,37.81,36.46,3.0,3.6,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000136,2023-02-19T11:54:35.700000Z,37.19,36.79,5.0,3.5,m,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000134,2023-02-19T11:40:13.900000Z,37.91,36.26,5.0,2.8,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000132,2023-02-19T11:15:57.200000Z,38.06,36.61,8.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000126,2023-02-19T10:51:54.000000Z,38.35,37.91,10.0,3.3,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000115,2023-02-19T09:43:44.600000Z,37.99,38.08,8.0,2.6,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000110,2023-02-19T09:34:47.100000Z,38.01,36.64,6.0,3.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000116,2023-02-19T09:30:51.500000Z,38.3,38.21,6.0,2.6,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000107,2023-02-19T08:59:22.100000Z,37.84,36.67,7.0,3.0,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000106,2023-02-19T08:57:24.000000Z,37.26,36.77,5.0,2.8,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000104,2023-02-19T08:56:04.200000Z,37.87,36.72,2.0,3.1,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000102,2023-02-19T08:48:17.200000Z,37.88,36.24,5.0,3.4,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000100,2023-02-19T08:43:17.900000Z,37.68,37.43,5.0,3.3,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000098,2023-02-19T08:27:35.200000Z,38.33,38.26,5.0,2.6,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000097,2023-02-19T08:26:09.300000Z,38.07,37.31,13.0,2.8,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000092,2023-02-19T08:08:37.700000Z,38.01,37.45,5.0,3.9,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000088,2023-02-19T07:58:09.800000Z,38.06,36.57,5.0,3.1,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000089,2023-02-19T07:52:15.100000Z,37.9,36.7,9.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000086,2023-02-19T07:39:39.400000Z,38.09,36.74,5.0,3.0,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000081,2023-02-19T07:16:30.100000Z,36.77,36.36,8.0,3.0,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000080,2023-02-19T07:13:48.300000Z,37.99,36.6,5.0,2.6,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000077,2023-02-19T07:07:16.200000Z,38.02,38.45,4.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000074,2023-02-19T06:55:39.500000Z,37.54,37.16,7.0,4.1,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000068,2023-02-19T06:03:25.500000Z,37.83,36.61,6.0,2.7,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000066,2023-02-19T05:55:25.000000Z,38.06,37.62,9.0,3.2,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000063,2023-02-19T05:46:35.100000Z,37.49,37.22,5.0,4.1,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000064,2023-02-19T05:43:27.800000Z,38.05,37.23,4.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000062,2023-02-19T05:30:13.200000Z,38.05,36.58,5.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000047,2023-02-19T04:17:05.400000Z,37.22,36.88,5.0,3.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000046,2023-02-19T04:07:41.400000Z,37.27,36.86,8.0,4.6,mb,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000044,2023-02-19T04:06:19.300000Z,37.2,36.92,5.0,4.8,m,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000045,2023-02-19T04:03:40.300000Z,37.26,36.85,6.0,3.3,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000043,2023-02-19T03:59:10.800000Z,37.27,36.85,10.0,4.1,mb,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000041,2023-02-19T03:27:43.000000Z,37.14,36.67,7.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000037,2023-02-19T03:25:27.700000Z,38.07,36.56,5.0,2.8,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000035,2023-02-19T02:56:49.800000Z,38.18,37.87,5.0,3.2,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000031,2023-02-19T02:54:06.600000Z,38.1,36.87,5.0,3.6,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000030,2023-02-19T02:50:02.600000Z,38.12,38.42,4.0,2.7,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000033,2023-02-19T02:40:06.000000Z,38.03,38.2,5.0,2.6,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000032,2023-02-19T02:37:57.700000Z,38.09,36.59,5.0,2.6,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000024,2023-02-19T02:22:26.400000Z,38.27,38.26,5.0,3.0,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000023,2023-02-19T01:48:08.800000Z,37.89,36.67,2.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000018,2023-02-19T01:36:27.300000Z,38.09,36.63,5.0,3.2,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000017,2023-02-19T01:26:40.000000Z,37.89,36.49,3.0,2.9,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000016,2023-02-19T01:23:21.400000Z,37.27,36.85,10.0,2.9,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000014,2023-02-19T01:16:49.800000Z,38.14,38.06,5.0,2.9,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000010,2023-02-19T00:59:36.200000Z,37.88,36.31,3.0,2.7,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000008,2023-02-19T00:56:10.500000Z,38.09,36.24,5.0,4.3,mw,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000007,2023-02-19T00:53:34.200000Z,38.01,36.67,10.0,3.6,m,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000005,2023-02-19T00:33:24.700000Z,38.24,37.58,5.0,2.9,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000004,2023-02-19T00:32:02.000000Z,37.97,36.64,5.0,2.8,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000002,2023-02-19T00:11:16.500000Z,38.3,38.21,5.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230219_0000003,2023-02-19T00:07:49.700000Z,38.03,37.7,14.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000301,2023-02-18T22:37:33.400000Z,38.1,38.47,5.0,2.8,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000307,2023-02-18T22:19:08.400000Z,38.13,36.47,5.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000290,2023-02-18T21:52:06.000000Z,37.89,36.57,10.0,3.0,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000288,2023-02-18T21:43:30.000000Z,38.08,36.61,6.0,2.9,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000282,2023-02-18T21:19:41.500000Z,38.07,37.43,6.0,2.9,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000285,2023-02-18T21:14:49.300000Z,37.87,36.28,16.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000278,2023-02-18T20:56:09.300000Z,36.82,36.64,5.0,4.2,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000276,2023-02-18T20:51:50.400000Z,37.87,36.31,3.0,3.8,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000281,2023-02-18T20:50:16.100000Z,37.83,36.57,15.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000265,2023-02-18T19:52:46.100000Z,38.07,36.6,6.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000259,2023-02-18T19:47:08.700000Z,38.08,36.63,5.0,3.8,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000258,2023-02-18T19:37:23.300000Z,38.12,38.5,4.0,3.3,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000257,2023-02-18T19:31:32.100000Z,38.08,36.61,7.0,5.0,mw,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000251,2023-02-18T19:10:20.700000Z,37.21,36.76,5.0,3.0,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000255,2023-02-18T19:06:29.900000Z,38.1,37.71,5.0,2.6,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000248,2023-02-18T18:57:49.800000Z,38.12,37.56,5.0,3.2,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000247,2023-02-18T18:50:01.400000Z,38.13,36.86,6.0,2.7,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000243,2023-02-18T18:40:27.000000Z,37.25,35.53,5.0,2.8,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000242,2023-02-18T18:25:06.100000Z,37.29,36.76,9.0,2.6,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000238,2023-02-18T18:15:12.500000Z,38.09,37.77,5.0,3.6,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000236,2023-02-18T18:00:20.200000Z,38.13,38.48,3.0,3.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000232,2023-02-18T17:34:33.900000Z,37.87,37.74,8.0,3.0,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000230,2023-02-18T17:27:18.200000Z,38.1,37.18,5.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000228,2023-02-18T17:10:25.300000Z,38.2,38.18,5.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000222,2023-02-18T16:57:41.800000Z,38.0,37.36,5.0,3.7,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000220,2023-02-18T16:53:33.900000Z,37.15,37.05,10.0,3.6,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000223,2023-02-18T16:40:37.900000Z,37.07,36.89,7.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000219,2023-02-18T16:27:58.400000Z,38.01,37.37,5.0,2.9,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000215,2023-02-18T16:25:04.600000Z,37.95,36.28,4.0,2.8,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000208,2023-02-18T16:14:40.300000Z,38.02,38.16,4.0,4.2,mb,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000205,2023-02-18T16:06:55.500000Z,37.82,36.27,10.0,4.0,m,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000199,2023-02-18T15:18:47.000000Z,38.19,37.77,15.0,2.5,ml,,,EMSC_FDSN
quakeml:eu.emsc/event/20230218_0000196,2023-02-18T14:45:53.000000Z,37.95,36.61,5.0,2.7,ml,,,EMSC_FDSN
