event_id,origin_time,latitude,longitude,depth_km,magnitude,region
smi:ISC/evid=622109522,2022-01-06T05:22:13.000000Z,37.923,27.118,7.0,1.5,aegean
smi:ISC/evid=622109523,2022-01-06T05:40:26.100000Z,37.907,27.1072,12.9,1.7,aegean
smi:ISC/evid=622109524,2022-01-06T05:46:45.300000Z,38.8548,26.481,5.4,2.3,aegean
smi:ISC/evid=622109528,2022-01-06T08:18:00.000000Z,38.971,42.012,7.1,1.6,eastern_anatolia
smi:ISC/evid=622109538,2022-01-06T15:16:32.000000Z,38.982,42.008,6.0,3.1,eastern_anatolia
smi:ISC/evid=622109539,2022-01-06T15:59:43.000000Z,37.892,26.941,7.8,1.7,aegean
smi:ISC/evid=635991359,2022-01-06T17:54:25.000000Z,37.73,27.061,7.0,1.5,aegean
smi:ISC/evid=622109543,2022-01-06T19:21:38.000000Z,39.006,42.015,7.0,1.6,eastern_anatolia
smi:ISC/evid=622109544,2022-01-06T19:42:18.000000Z,39.012,26.52,7.0,1.9,aegean
smi:ISC/evid=622109545,2022-01-06T20:24:37.700000Z,39.0093,26.5252,9.4,3.3,aegean
smi:ISC/evid=622109548,2022-01-06T22:37:00.200000Z,40.7907,27.7193,5.7,2.3,marmara
smi:ISC/evid=622109549,2022-01-06T22:53:23.000000Z,37.827,27.003,6.9,1.8,aegean
smi:ISC/evid=622109550,2022-01-06T23:51:23.900000Z,38.998,26.5417,12.3,1.6,aegean
smi:ISC/evid=622109557,2022-01-07T05:02:31.000000Z,40.168,31.733,7.0,1.6,central_anatolia
smi:ISC/evid=622109558,2022-01-07T06:28:48.000000Z,40.736,29.986,7.0,1.5,marmara
smi:ISC/evid=622109562,2022-01-07T08:50:03.000000Z,37.849,27.009,7.0,1.5,aegean
smi:ISC/evid=622109565,2022-01-07T09:50:22.500000Z,38.181,26.1925,5.3,2.2,aegean
smi:ISC/evid=622109567,2022-01-07T10:54:23.400000Z,39.519,41.1457,11.7,2.3,eastern_anatolia
smi:ISC/evid=622109575,2022-01-07T17:31:50.200000Z,39.3748,40.7717,9.2,1.9,eastern_anatolia
smi:ISC/evid=622109584,2022-01-07T22:06:00.600000Z,37.6948,26.013,12.8,1.7,aegean
smi:ISC/evid=622109593,2022-01-08T02:15:32.000000Z,38.785,43.576,14.4,2.7,eastern_anatolia
smi:ISC/evid=622109603,2022-01-08T04:03:04.900000Z,37.912,27.1172,5.7,1.9,aegean
smi:ISC/evid=622109604,2022-01-08T04:04:40.400000Z,37.8698,27.0455,12.4,1.5,aegean
smi:ISC/evid=622109605,2022-01-08T04:07:41.200000Z,37.8578,27.0817,3.3,1.5,aegean
smi:ISC/evid=622109606,2022-01-08T04:09:47.200000Z,37.9177,27.1192,5.5,1.7,aegean
