epoch,train_loss,val_loss,lr,elapsed_s
1,0.66382,0.462806,0.0001,18.6
2,0.402715,0.417761,0.0001,18.3
3,0.34069,0.398089,0.0001,18.4
4,0.291945,0.397592,0.0001,19.4
5,0.248898,0.399523,0.0001,23.2
6,0.210314,0.409813,0.0001,27.3
7,0.175057,0.430736,0.0001,29.9
8,0.144863,0.461111,0.0001,34.1
9,0.124008,0.475949,5e-05,27.2
