epoch,train_loss,val_loss,lr,elapsed_s
1,9.925087,8.577694,0.0003,2.6
2,6.578389,5.162396,0.0002995391413931026,1.8
3,3.935738,2.863554,0.00029815940691897306,1.8
4,2.276741,1.561698,0.00029586930309945264,1.9
5,1.389696,0.878514,0.0002926829491861254,1.9
6,0.998218,0.723219,0.0002886199901104373,1.8
7,0.760504,0.529741,0.0002837054753661609,1.8
8,0.666514,0.48945,0.00027796970457093673,1.8
9,0.522322,0.30621,0.0002714480406590546,1.8
10,0.35169,0.38969,0.0002641806918572046,1.8
11,0.404818,0.286521,0.0002562124637873888,2.1
12,0.279413,0.203991,0.00024759248322536243,2.0
13,0.24478,0.143984,0.00023837389521772466,2.3
14,0.227568,0.246961,0.00022861353542503427,2.1
15,0.185254,0.200761,0.00021837157971106217,2.1
16,0.17993,0.085272,0.00020771117313858086,2.0
17,0.149974,0.19114,0.00019669804065905458,2.2
18,0.145796,0.116849,0.0001854000818964578,2.0
19,0.131886,0.094282,0.00017388695252351446,2.2
20,0.114489,0.139292,0.00016222963481131276,2.0
21,0.124383,0.128909,0.00015049999999999994,2.2
22,0.095135,0.124009,0.00013877036518868715,2.2
23,0.086425,0.103336,0.00012711304747648549,2.3
24,0.081766,0.094685,0.00011559991810354211,2.2
