lat_center,lon_center,zone,n_events,n_above_Mc,Mc,b_value,a_value,lambda_M5,lambda_M6,lambda_M7,P50yr_M5,P50yr_M6,P50yr_M7,omori_factor,source
39.75,38.25,CA,87,47,3.15,1.038,3.4107,0.016621,0.001523,0.00014,0.5644,0.0733,0.007,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
39.75,38.75,CA,229,108,3.15,1.0356,3.7644,0.038585,0.003555,0.000328,0.8547,0.1628,0.0162,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
39.75,39.25,CA,138,67,3.15,1.038,3.5646,0.023693,0.002171,0.000199,0.6942,0.1029,0.0099,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
39.75,39.75,CA,321,178,3.15,1.1508,4.3443,0.038931,0.002751,0.000194,0.8572,0.1285,0.0097,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
39.75,40.25,CA,98,60,3.15,1.038,3.5167,0.021218,0.001944,0.000178,0.6539,0.0926,0.0089,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
39.75,40.75,CA,450,274,3.15,1.3946,5.2996,0.021213,0.000855,3.4e-05,0.6538,0.0419,0.0017,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
39.75,41.25,CA,117,65,3.15,1.038,3.5515,0.022986,0.002106,0.000193,0.6831,0.0999,0.0096,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
39.75,41.75,CA,131,67,3.15,1.038,3.5646,0.023693,0.002171,0.000199,0.6942,0.1029,0.0099,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
39.75,42.25,CA,35,20,3.15,1.038,3.0396,0.007073,0.000648,5.9e-05,0.2979,0.0319,0.003,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
39.75,42.75,CA,87,50,3.15,1.038,3.4375,0.017682,0.00162,0.000148,0.5869,0.0778,0.0074,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
39.75,43.25,CA,19,10,3.15,1.038,2.7386,0.003536,0.000324,3e-05,0.1621,0.0161,0.0015,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
39.75,43.75,CA,35,20,3.15,1.038,3.0396,0.007073,0.000648,5.9e-05,0.2979,0.0319,0.003,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,26.25,NAF,258,127,3.15,0.7836,3.041,0.132739,0.021847,0.003596,0.9987,0.6646,0.1646,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,26.75,NAF,44,21,3.15,1.1581,3.4391,0.004452,0.000309,2.1e-05,0.1996,0.0153,0.0011,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,27.25,NAF,178,69,3.15,1.1581,3.9557,0.014629,0.001017,7.1e-05,0.5188,0.0496,0.0035,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,27.75,NAF,131,55,3.15,1.1581,3.8572,0.011661,0.00081,5.6e-05,0.4418,0.0397,0.0028,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,28.25,NAF,82,38,3.15,1.1581,3.6967,0.008057,0.00056,3.9e-05,0.3316,0.0276,0.0019,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,28.75,NAF,148,65,3.15,1.1581,3.9298,0.013781,0.000958,6.7e-05,0.4979,0.0468,0.0033,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,29.25,NAF,147,62,3.15,1.1581,3.9093,0.013145,0.000913,6.3e-05,0.4817,0.0446,0.0032,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,29.75,NAF,37,21,3.15,1.1581,3.4391,0.004452,0.000309,2.1e-05,0.1996,0.0153,0.0011,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,30.25,NAF,35,11,3.15,1.1581,3.1583,0.002332,0.000162,1.1e-05,0.1101,0.0081,0.0006,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,30.75,NAF,18,6,3.15,1.1581,2.895,0.001272,8.8e-05,6e-06,0.0616,0.0044,0.0003,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,31.25,NAF,10,6,3.15,1.1581,2.895,0.001272,8.8e-05,6e-06,0.0616,0.0044,0.0003,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,31.75,NAF,47,11,3.15,1.1581,3.1583,0.002332,0.000162,1.1e-05,0.1101,0.0081,0.0006,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,32.25,NAF,40,27,3.15,1.1581,3.5482,0.005724,0.000398,2.8e-05,0.2489,0.0197,0.0014,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,32.75,NAF,74,37,3.15,1.1581,3.6851,0.007845,0.000545,3.8e-05,0.3245,0.0269,0.0019,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,33.25,NAF,88,54,3.15,1.1581,3.8493,0.011449,0.000796,5.5e-05,0.4359,0.039,0.0028,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,33.75,NAF,44,30,3.15,1.1581,3.594,0.00636,0.000442,3.1e-05,0.2724,0.0219,0.0015,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,34.25,NAF,67,34,3.15,1.1581,3.6483,0.007209,0.000501,3.5e-05,0.3026,0.0247,0.0017,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,34.75,NAF,39,18,3.15,1.1581,3.3721,0.003816,0.000265,1.8e-05,0.1737,0.0132,0.0009,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,35.25,NAF,26,11,3.15,1.1581,3.1583,0.002332,0.000162,1.1e-05,0.1101,0.0081,0.0006,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,35.75,NAF,42,26,3.15,1.1581,3.5318,0.005512,0.000383,2.7e-05,0.2409,0.019,0.0013,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,36.25,CA,29,10,3.15,1.038,2.7386,0.003536,0.000324,3e-05,0.1621,0.0161,0.0015,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,36.75,CA,16,8,3.15,1.038,2.6416,0.002829,0.000259,2.4e-05,0.1319,0.0129,0.0012,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,37.25,CA,46,31,3.15,1.038,3.2299,0.010963,0.001004,9.2e-05,0.422,0.049,0.0046,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,37.75,CA,38,15,3.15,1.038,2.9146,0.005305,0.000486,4.5e-05,0.233,0.024,0.0022,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,38.25,CA,19,11,3.15,1.038,2.7799,0.00389,0.000356,3.3e-05,0.1768,0.0177,0.0016,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,38.75,CA,52,20,3.15,1.038,3.0396,0.007073,0.000648,5.9e-05,0.2979,0.0319,0.003,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,39.25,CA,18,12,3.15,1.038,2.8177,0.004244,0.000389,3.6e-05,0.1912,0.0193,0.0018,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,39.75,CA,35,17,3.15,1.038,2.969,0.006012,0.000551,5e-05,0.2596,0.0272,0.0025,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,40.25,CA,20,14,3.15,1.038,2.8847,0.004951,0.000454,4.2e-05,0.2193,0.0224,0.0021,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,40.75,CA,70,31,3.15,1.038,3.2299,0.010963,0.001004,9.2e-05,0.422,0.049,0.0046,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,41.25,CA,42,18,3.15,1.038,2.9938,0.006365,0.000583,5.3e-05,0.2726,0.0287,0.0027,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,41.75,CA,39,23,3.15,1.038,3.1003,0.008134,0.000745,6.8e-05,0.3341,0.0366,0.0034,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,42.25,CA,128,70,3.15,0.6839,2.4682,0.111876,0.023165,0.004797,0.9963,0.686,0.2132,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,42.75,CA,41,29,3.15,1.038,3.201,0.010255,0.00094,8.6e-05,0.4012,0.0459,0.0043,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,43.25,CA,19,10,3.15,1.038,2.7386,0.003536,0.000324,3e-05,0.1621,0.0161,0.0015,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.25,43.75,CA,5,5,3.15,1.038,2.4375,0.001768,0.000162,1.5e-05,0.0846,0.0081,0.0007,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,26.25,NAF,62,41,3.15,1.1581,3.7297,0.008693,0.000604,4.2e-05,0.3525,0.0297,0.0021,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,26.75,NAF,10,6,3.15,1.1581,2.895,0.001272,8.8e-05,6e-06,0.0616,0.0044,0.0003,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,27.25,NAF,148,68,3.15,1.1581,3.9494,0.014417,0.001002,7e-05,0.5137,0.0489,0.0035,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,27.75,NAF,296,111,3.15,0.943,3.4846,0.058834,0.006709,0.000765,0.9472,0.285,0.0375,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,28.25,NAF,151,65,3.15,1.1581,3.9298,0.013781,0.000958,6.7e-05,0.4979,0.0468,0.0033,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,28.75,NAF,86,37,3.15,1.1581,3.6851,0.007845,0.000545,3.8e-05,0.3245,0.0269,0.0019,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,29.25,NAF,439,191,3.15,0.8724,3.4979,0.136756,0.018346,0.002461,0.9989,0.6004,0.1158,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,29.75,NAF,232,105,3.15,0.7307,2.7917,0.137483,0.025559,0.004752,0.999,0.7214,0.2115,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,30.25,NAF,271,129,3.15,0.7934,3.0787,0.129316,0.020809,0.003349,0.9984,0.6467,0.1542,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,30.75,NAF,503,237,3.15,0.7136,3.0914,0.333766,0.064542,0.012481,1.0,0.9603,0.4642,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,31.25,NAF,542,297,3.15,0.8045,3.4758,0.283978,0.044544,0.006987,1.0,0.8922,0.2949,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,31.75,NAF,146,70,3.15,0.9927,3.441,0.030023,0.003053,0.00031,0.7771,0.1416,0.0154,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,32.25,NAF,28,14,3.15,1.1581,3.263,0.002968,0.000206,1.4e-05,0.1379,0.0103,0.0007,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,32.75,NAF,199,108,3.15,0.9282,3.4261,0.060969,0.007193,0.000849,0.9526,0.3021,0.0415,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,33.25,NAF,214,131,3.15,1.0469,3.8839,0.044603,0.004004,0.000359,0.8925,0.1814,0.0178,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,33.75,NAF,58,30,3.15,1.1581,3.594,0.00636,0.000442,3.1e-05,0.2724,0.0219,0.0015,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,34.25,NAF,49,22,3.15,1.1581,3.4593,0.004664,0.000324,2.3e-05,0.208,0.0161,0.0011,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,34.75,NAF,164,73,3.15,1.1581,3.9802,0.015477,0.001075,7.5e-05,0.5388,0.0524,0.0037,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,35.25,NAF,284,167,3.15,0.9998,3.8409,0.069493,0.006952,0.000696,0.969,0.2936,0.0342,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,35.75,NAF,82,47,3.15,1.1581,3.789,0.009965,0.000692,4.8e-05,0.3924,0.034,0.0024,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,36.25,CA,36,17,3.15,1.038,2.969,0.006012,0.000551,5e-05,0.2596,0.0272,0.0025,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,36.75,CA,81,45,3.15,1.038,3.3918,0.015914,0.001458,0.000134,0.5487,0.0703,0.0067,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,37.25,CA,27,13,3.15,1.038,2.8525,0.004597,0.000421,3.9e-05,0.2054,0.0208,0.0019,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,38.25,CA,25,8,3.15,1.038,2.6416,0.002829,0.000259,2.4e-05,0.1319,0.0129,0.0012,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,38.75,CA,17,5,3.15,1.038,2.4375,0.001768,0.000162,1.5e-05,0.0846,0.0081,0.0007,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,39.25,CA,27,10,3.15,1.038,2.7386,0.003536,0.000324,3e-05,0.1621,0.0161,0.0015,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,41.75,CA,16,7,3.15,1.038,2.5837,0.002475,0.000227,2.1e-05,0.1164,0.0113,0.001,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,42.25,CA,51,35,3.15,1.038,3.2826,0.012377,0.001134,0.000104,0.4614,0.0551,0.0052,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,42.75,CA,35,21,3.15,1.038,3.0608,0.007426,0.00068,6.2e-05,0.3102,0.0334,0.0031,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,43.25,CA,25,15,3.15,1.038,2.9146,0.005305,0.000486,4.5e-05,0.233,0.024,0.0022,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
40.75,43.75,CA,16,12,3.15,1.038,2.8177,0.004244,0.000389,3.6e-05,0.1912,0.0193,0.0018,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
41.25,29.75,NAF,9,5,3.15,1.1581,2.8158,0.00106,7.4e-05,5e-06,0.0516,0.0037,0.0003,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
41.25,31.25,NAF,12,5,3.15,1.1581,2.8158,0.00106,7.4e-05,5e-06,0.0516,0.0037,0.0003,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
41.25,31.75,NAF,10,7,3.15,1.1581,2.962,0.001484,0.000103,7e-06,0.0715,0.0051,0.0004,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
41.25,32.25,NAF,24,14,3.15,1.1581,3.263,0.002968,0.000206,1.4e-05,0.1379,0.0103,0.0007,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
41.25,32.75,NAF,26,15,3.15,1.1581,3.293,0.00318,0.000221,1.5e-05,0.147,0.011,0.0008,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
41.25,33.25,NAF,26,13,3.15,1.1581,3.2308,0.002756,0.000192,1.3e-05,0.1287,0.0095,0.0007,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
41.25,33.75,NAF,35,22,3.15,1.1581,3.4593,0.004664,0.000324,2.3e-05,0.208,0.0161,0.0011,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
41.25,34.25,NAF,40,24,3.15,1.1581,3.4971,0.005088,0.000354,2.5e-05,0.2246,0.0175,0.0012,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
41.25,35.25,NAF,13,6,3.15,1.1581,2.895,0.001272,8.8e-05,6e-06,0.0616,0.0044,0.0003,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
41.25,35.75,NAF,38,11,3.15,1.1581,3.1583,0.002332,0.000162,1.1e-05,0.1101,0.0081,0.0006,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
41.25,36.25,CA,15,7,3.15,1.038,2.5837,0.002475,0.000227,2.1e-05,0.1164,0.0113,0.001,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
41.25,39.25,CA,28,11,3.15,1.038,2.7799,0.00389,0.000356,3.3e-05,0.1768,0.0177,0.0016,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
41.25,40.75,CA,21,7,3.15,1.038,2.5837,0.002475,0.000227,2.1e-05,0.1164,0.0113,0.001,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
41.25,41.25,CA,14,9,3.15,1.038,2.6928,0.003183,0.000292,2.7e-05,0.1471,0.0145,0.0013,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
41.25,42.25,CA,11,7,3.15,1.038,2.5837,0.002475,0.000227,2.1e-05,0.1164,0.0113,0.001,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
41.25,42.75,CA,12,9,3.15,1.038,2.6928,0.003183,0.000292,2.7e-05,0.1471,0.0145,0.0013,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
41.25,43.25,CA,29,26,3.15,1.038,3.1535,0.009194,0.000842,7.7e-05,0.3685,0.0412,0.0039,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
41.25,43.75,CA,415,347,3.15,0.9098,3.8751,0.211862,0.026077,0.00321,1.0,0.7285,0.1483,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
41.75,26.75,NAF,12,5,3.15,1.1581,2.8158,0.00106,7.4e-05,5e-06,0.0516,0.0037,0.0003,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
41.75,32.25,NAF,22,14,3.15,1.1581,3.263,0.002968,0.000206,1.4e-05,0.1379,0.0103,0.0007,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
41.75,32.75,NAF,27,8,3.15,1.1581,3.02,0.001696,0.000118,8e-06,0.0813,0.0059,0.0004,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
41.75,41.75,CA,6,5,3.15,1.038,2.4375,0.001768,0.000162,1.5e-05,0.0846,0.0081,0.0007,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
41.75,42.25,CA,16,9,3.15,1.038,2.6928,0.003183,0.000292,2.7e-05,0.1471,0.0145,0.0013,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
41.75,42.75,CA,26,19,3.15,1.038,3.0173,0.006719,0.000616,5.6e-05,0.2853,0.0303,0.0028,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
41.75,43.25,CA,53,41,3.15,1.038,3.3513,0.014499,0.001328,0.000122,0.5157,0.0643,0.0061,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
41.75,43.75,CA,145,124,3.15,1.0061,3.7315,0.050233,0.004953,0.000488,0.9189,0.2194,0.0241,1.0,ISC 1990-2023 (excl. 2023-02-06/08-06)
