filename,station,event_id,magnitude,mag_band,t_start,t_origin,status
small_KO.KMRS_636303140.npz,KO.KMRS,636303140,1.8,M1.5-2.0,2023-04-03T07:44:08.400000Z,2023-04-03T07:44:38.400000Z,"fail: No data available for request.
HTTP Status code: 204
Detailed response of server"
small_KO.KOZT_626673960.npz,KO.KOZT,626673960,2.0,M1.5-2.0,2023-02-28T12:10:20.200000Z,2023-02-28T12:10:50.200000Z,ok
small_KO.KMRS_626673960.npz,KO.KMRS,626673960,2.0,M1.5-2.0,2023-02-28T12:10:20.200000Z,2023-02-28T12:10:50.200000Z,ok
small_KO.KOZT_636322655.npz,KO.KOZT,636322655,2.0,M1.5-2.0,2023-07-28T00:12:59.900000Z,2023-07-28T00:13:29.900000Z,ok
small_KO.KMRS_636322655.npz,KO.KMRS,636322655,2.0,M1.5-2.0,2023-07-28T00:12:59.900000Z,2023-07-28T00:13:29.900000Z,ok
small_KO.KOZT_626663989.npz,KO.KOZT,626663989,2.0,M1.5-2.0,2023-02-10T13:41:55.200000Z,2023-02-10T13:42:25.200000Z,ok
small_KO.KMRS_626663989.npz,KO.KMRS,626663989,2.0,M1.5-2.0,2023-02-10T13:41:55.200000Z,2023-02-10T13:42:25.200000Z,ok
small_KO.KOZT_636319198.npz,KO.KOZT,636319198,2.0,M1.5-2.0,2023-06-27T15:12:33.100000Z,2023-06-27T15:13:03.100000Z,ok
small_KO.KMRS_636319198.npz,KO.KMRS,636319198,2.0,M1.5-2.0,2023-06-27T15:12:33.100000Z,2023-06-27T15:13:03.100000Z,ok
small_KO.KOZT_636305816.npz,KO.KOZT,636305816,1.6,M1.5-2.0,2023-04-15T04:55:59.100000Z,2023-04-15T04:56:29.100000Z,fail: Gap fraction 0.10 > 0.05
small_KO.KMRS_636305816.npz,KO.KMRS,636305816,1.6,M1.5-2.0,2023-04-15T04:55:59.100000Z,2023-04-15T04:56:29.100000Z,fail: Gap fraction 0.07 > 0.05
small_KO.KOZT_642691909.npz,KO.KOZT,642691909,1.6,M1.5-2.0,2023-02-16T08:02:26.000000Z,2023-02-16T08:02:56.000000Z,ok
small_KO.KMRS_642691909.npz,KO.KMRS,642691909,1.6,M1.5-2.0,2023-02-16T08:02:26.000000Z,2023-02-16T08:02:56.000000Z,"fail: No data available for request.
HTTP Status code: 204
Detailed response of server"
small_KO.KOZT_626667489.npz,KO.KOZT,626667489,2.0,M1.5-2.0,2023-02-16T15:15:24.800000Z,2023-02-16T15:15:54.800000Z,ok
small_KO.KMRS_626667489.npz,KO.KMRS,626667489,2.0,M1.5-2.0,2023-02-16T15:15:24.800000Z,2023-02-16T15:15:54.800000Z,ok
small_KO.KOZT_626755943.npz,KO.KOZT,626755943,1.8,M1.5-2.0,2023-03-07T22:32:36.000000Z,2023-03-07T22:33:06.000000Z,ok
small_KO.KMRS_626755943.npz,KO.KMRS,626755943,1.8,M1.5-2.0,2023-03-07T22:32:36.000000Z,2023-03-07T22:33:06.000000Z,ok
small_KO.KOZT_626763531.npz,KO.KOZT,626763531,1.8,M1.5-2.0,2023-03-29T22:53:19.500000Z,2023-03-29T22:53:49.500000Z,ok
small_KO.KMRS_626763531.npz,KO.KMRS,626763531,1.8,M1.5-2.0,2023-03-29T22:53:19.500000Z,2023-03-29T22:53:49.500000Z,"fail: No data available for request.
HTTP Status code: 204
Detailed response of server"
small_KO.KOZT_626666868.npz,KO.KOZT,626666868,1.9,M1.5-2.0,2023-02-15T10:10:46.400000Z,2023-02-15T10:11:16.400000Z,ok
small_KO.KMRS_626666868.npz,KO.KMRS,626666868,1.9,M1.5-2.0,2023-02-15T10:10:46.400000Z,2023-02-15T10:11:16.400000Z,"fail: No data available for request.
HTTP Status code: 204
Detailed response of server"
small_KO.KOZT_626670993.npz,KO.KOZT,626670993,2.0,M1.5-2.0,2023-02-22T23:02:05.000000Z,2023-02-22T23:02:35.000000Z,ok
small_KO.KMRS_626670993.npz,KO.KMRS,626670993,2.0,M1.5-2.0,2023-02-22T23:02:05.000000Z,2023-02-22T23:02:35.000000Z,ok
small_KO.KOZT_642877826.npz,KO.KOZT,642877826,1.7,M1.5-2.0,2023-03-31T05:16:09.000000Z,2023-03-31T05:16:39.000000Z,ok
small_KO.KMRS_642877826.npz,KO.KMRS,642877826,1.7,M1.5-2.0,2023-03-31T05:16:09.000000Z,2023-03-31T05:16:39.000000Z,ok
small_KO.KOZT_626755926.npz,KO.KOZT,626755926,1.9,M1.5-2.0,2023-03-07T21:01:13.200000Z,2023-03-07T21:01:43.200000Z,ok
small_KO.KMRS_626755926.npz,KO.KMRS,626755926,1.9,M1.5-2.0,2023-03-07T21:01:13.200000Z,2023-03-07T21:01:43.200000Z,fail: Missing channels: ['HHE']
small_KO.KOZT_626755236.npz,KO.KOZT,626755236,1.8,M1.5-2.0,2023-03-06T06:16:55.300000Z,2023-03-06T06:17:25.300000Z,ok
small_KO.KMRS_626755236.npz,KO.KMRS,626755236,1.8,M1.5-2.0,2023-03-06T06:16:55.300000Z,2023-03-06T06:17:25.300000Z,"fail: Missing channels: ['HHZ', 'HHE']"
small_KO.KOZT_626753601.npz,KO.KOZT,626753601,1.6,M1.5-2.0,2023-03-02T09:30:40.300000Z,2023-03-02T09:31:10.300000Z,ok
small_KO.KMRS_626753601.npz,KO.KMRS,626753601,1.6,M1.5-2.0,2023-03-02T09:30:40.300000Z,2023-03-02T09:31:10.300000Z,ok
small_KO.KOZT_626664967.npz,KO.KOZT,626664967,1.8,M1.5-2.0,2023-02-12T03:07:00.700000Z,2023-02-12T03:07:30.700000Z,ok
small_KO.KMRS_626664967.npz,KO.KMRS,626664967,1.8,M1.5-2.0,2023-02-12T03:07:00.700000Z,2023-02-12T03:07:30.700000Z,ok
small_KO.KOZT_626664954.npz,KO.KOZT,626664954,1.8,M1.5-2.0,2023-02-12T02:42:48.900000Z,2023-02-12T02:43:18.900000Z,ok
small_KO.KMRS_626664954.npz,KO.KMRS,626664954,1.8,M1.5-2.0,2023-02-12T02:42:48.900000Z,2023-02-12T02:43:18.900000Z,ok
small_KO.KOZT_636320015.npz,KO.KOZT,636320015,2.0,M1.5-2.0,2023-07-03T06:41:10.300000Z,2023-07-03T06:41:40.300000Z,ok
small_KO.KMRS_636320015.npz,KO.KMRS,636320015,2.0,M1.5-2.0,2023-07-03T06:41:10.300000Z,2023-07-03T06:41:40.300000Z,fail: Gap fraction 0.58 > 0.05
small_KO.KOZT_626671161.npz,KO.KOZT,626671161,1.8,M1.5-2.0,2023-02-23T06:14:35.500000Z,2023-02-23T06:15:05.500000Z,ok
small_KO.KMRS_626671161.npz,KO.KMRS,626671161,1.8,M1.5-2.0,2023-02-23T06:14:35.500000Z,2023-02-23T06:15:05.500000Z,ok
small_KO.KOZT_626668963.npz,KO.KOZT,626668963,1.7,M1.5-2.0,2023-02-19T09:29:40.100000Z,2023-02-19T09:30:10.100000Z,ok
small_KO.KMRS_626668963.npz,KO.KMRS,626668963,1.7,M1.5-2.0,2023-02-19T09:29:40.100000Z,2023-02-19T09:30:10.100000Z,ok
small_KO.KOZT_642898721.npz,KO.KOZT,642898721,1.8,M1.5-2.0,2023-02-11T19:33:39.600000Z,2023-02-11T19:34:09.600000Z,ok
