event_id,station,magnitude,file,status
quakeml:eu.emsc/event/20230308_0000278,KO.DARE,2.3,ev_KO_DARE_.emsc_event_20230308_0000278.mseed,ok
quakeml:eu.emsc/event/20230308_0000278,KO.URFA,2.3,ev_KO_URFA_.emsc_event_20230308_0000278.mseed,ok
quakeml:eu.emsc/event/20230308_0000278,KO.KARA,2.3,ev_KO_KARA_.emsc_event_20230308_0000278.mseed,fail
quakeml:eu.emsc/event/20230308_0000278,KO.BNN,2.3,ev_KO_BNN_.emsc_event_20230308_0000278.mseed,ok
quakeml:eu.emsc/event/20230308_0000278,KO.MERS,2.3,ev_KO_MERS_.emsc_event_20230308_0000278.mseed,ok
quakeml:eu.emsc/event/20230308_0000278,KO.SVRC,2.3,ev_KO_SVRC_.emsc_event_20230308_0000278.mseed,ok
quakeml:eu.emsc/event/20230308_0000275,KO.GAZ,2.6,ev_KO_GAZ_.emsc_event_20230308_0000275.mseed,ok
quakeml:eu.emsc/event/20230308_0000275,KO.KMRS,2.6,ev_KO_KMRS_.emsc_event_20230308_0000275.mseed,ok
quakeml:eu.emsc/event/20230308_0000275,KO.KOZT,2.6,ev_KO_KOZT_.emsc_event_20230308_0000275.mseed,fail
quakeml:eu.emsc/event/20230308_0000275,KO.CEYT,2.6,ev_KO_CEYT_.emsc_event_20230308_0000275.mseed,ok
quakeml:eu.emsc/event/20230308_0000275,KO.TAHT,2.6,ev_KO_TAHT_.emsc_event_20230308_0000275.mseed,ok
quakeml:eu.emsc/event/20230308_0000275,KO.SARI,2.6,ev_KO_SARI_.emsc_event_20230308_0000275.mseed,ok
quakeml:eu.emsc/event/20230308_0000275,KO.URFA,2.6,ev_KO_URFA_.emsc_event_20230308_0000275.mseed,ok
quakeml:eu.emsc/event/20230308_0000275,KO.KARA,2.6,ev_KO_KARA_.emsc_event_20230308_0000275.mseed,fail
quakeml:eu.emsc/event/20230308_0000275,KO.DARE,2.6,ev_KO_DARE_.emsc_event_20230308_0000275.mseed,ok
quakeml:eu.emsc/event/20230308_0000275,KO.BNN,2.6,ev_KO_BNN_.emsc_event_20230308_0000275.mseed,ok
quakeml:eu.emsc/event/20230308_0000275,KO.MERS,2.6,ev_KO_MERS_.emsc_event_20230308_0000275.mseed,ok
quakeml:eu.emsc/event/20230308_0000275,KO.SVRC,2.6,ev_KO_SVRC_.emsc_event_20230308_0000275.mseed,ok
quakeml:eu.emsc/event/20230308_0000274,KO.GAZ,2.4,ev_KO_GAZ_.emsc_event_20230308_0000274.mseed,ok
quakeml:eu.emsc/event/20230308_0000274,KO.KMRS,2.4,ev_KO_KMRS_.emsc_event_20230308_0000274.mseed,ok
quakeml:eu.emsc/event/20230308_0000274,KO.KOZT,2.4,ev_KO_KOZT_.emsc_event_20230308_0000274.mseed,fail
quakeml:eu.emsc/event/20230308_0000274,KO.CEYT,2.4,ev_KO_CEYT_.emsc_event_20230308_0000274.mseed,ok
quakeml:eu.emsc/event/20230308_0000274,KO.TAHT,2.4,ev_KO_TAHT_.emsc_event_20230308_0000274.mseed,ok
quakeml:eu.emsc/event/20230308_0000274,KO.SARI,2.4,ev_KO_SARI_.emsc_event_20230308_0000274.mseed,ok
quakeml:eu.emsc/event/20230308_0000274,KO.URFA,2.4,ev_KO_URFA_.emsc_event_20230308_0000274.mseed,ok
quakeml:eu.emsc/event/20230308_0000274,KO.DARE,2.4,ev_KO_DARE_.emsc_event_20230308_0000274.mseed,ok
quakeml:eu.emsc/event/20230308_0000274,KO.KARA,2.4,ev_KO_KARA_.emsc_event_20230308_0000274.mseed,fail
quakeml:eu.emsc/event/20230308_0000274,KO.BNN,2.4,ev_KO_BNN_.emsc_event_20230308_0000274.mseed,ok
quakeml:eu.emsc/event/20230308_0000274,KO.MERS,2.4,ev_KO_MERS_.emsc_event_20230308_0000274.mseed,ok
quakeml:eu.emsc/event/20230308_0000274,KO.SVRC,2.4,ev_KO_SVRC_.emsc_event_20230308_0000274.mseed,ok
quakeml:eu.emsc/event/20230308_0000273,KO.GAZ,2.0,ev_KO_GAZ_.emsc_event_20230308_0000273.mseed,ok
quakeml:eu.emsc/event/20230308_0000273,KO.KMRS,2.0,ev_KO_KMRS_.emsc_event_20230308_0000273.mseed,ok
quakeml:eu.emsc/event/20230308_0000273,KO.KOZT,2.0,ev_KO_KOZT_.emsc_event_20230308_0000273.mseed,fail
quakeml:eu.emsc/event/20230308_0000273,KO.CEYT,2.0,ev_KO_CEYT_.emsc_event_20230308_0000273.mseed,ok
quakeml:eu.emsc/event/20230308_0000273,KO.TAHT,2.0,ev_KO_TAHT_.emsc_event_20230308_0000273.mseed,ok
quakeml:eu.emsc/event/20230308_0000273,KO.SARI,2.0,ev_KO_SARI_.emsc_event_20230308_0000273.mseed,ok
quakeml:eu.emsc/event/20230308_0000273,KO.URFA,2.0,ev_KO_URFA_.emsc_event_20230308_0000273.mseed,ok
quakeml:eu.emsc/event/20230308_0000273,KO.DARE,2.0,ev_KO_DARE_.emsc_event_20230308_0000273.mseed,ok
quakeml:eu.emsc/event/20230308_0000273,KO.KARA,2.0,ev_KO_KARA_.emsc_event_20230308_0000273.mseed,fail
quakeml:eu.emsc/event/20230308_0000273,KO.BNN,2.0,ev_KO_BNN_.emsc_event_20230308_0000273.mseed,ok
quakeml:eu.emsc/event/20230308_0000273,KO.MERS,2.0,ev_KO_MERS_.emsc_event_20230308_0000273.mseed,ok
quakeml:eu.emsc/event/20230308_0000273,KO.SVRC,2.0,ev_KO_SVRC_.emsc_event_20230308_0000273.mseed,ok
quakeml:eu.emsc/event/20230308_0000270,KO.GAZ,2.7,ev_KO_GAZ_.emsc_event_20230308_0000270.mseed,ok
quakeml:eu.emsc/event/20230308_0000270,KO.KMRS,2.7,ev_KO_KMRS_.emsc_event_20230308_0000270.mseed,ok
quakeml:eu.emsc/event/20230308_0000270,KO.KOZT,2.7,ev_KO_KOZT_.emsc_event_20230308_0000270.mseed,fail
quakeml:eu.emsc/event/20230308_0000270,KO.CEYT,2.7,ev_KO_CEYT_.emsc_event_20230308_0000270.mseed,ok
quakeml:eu.emsc/event/20230308_0000270,KO.TAHT,2.7,ev_KO_TAHT_.emsc_event_20230308_0000270.mseed,ok
quakeml:eu.emsc/event/20230308_0000270,KO.SARI,2.7,ev_KO_SARI_.emsc_event_20230308_0000270.mseed,ok
quakeml:eu.emsc/event/20230308_0000270,KO.DARE,2.7,ev_KO_DARE_.emsc_event_20230308_0000270.mseed,ok
quakeml:eu.emsc/event/20230308_0000270,KO.URFA,2.7,ev_KO_URFA_.emsc_event_20230308_0000270.mseed,ok
quakeml:eu.emsc/event/20230308_0000270,KO.KARA,2.7,ev_KO_KARA_.emsc_event_20230308_0000270.mseed,fail
quakeml:eu.emsc/event/20230308_0000270,KO.BNN,2.7,ev_KO_BNN_.emsc_event_20230308_0000270.mseed,ok
quakeml:eu.emsc/event/20230308_0000270,KO.MERS,2.7,ev_KO_MERS_.emsc_event_20230308_0000270.mseed,ok
quakeml:eu.emsc/event/20230308_0000270,KO.SVRC,2.7,ev_KO_SVRC_.emsc_event_20230308_0000270.mseed,ok
quakeml:eu.emsc/event/20230308_0000262,KO.GAZ,2.6,ev_KO_GAZ_.emsc_event_20230308_0000262.mseed,ok
quakeml:eu.emsc/event/20230308_0000262,KO.KMRS,2.6,ev_KO_KMRS_.emsc_event_20230308_0000262.mseed,fail
quakeml:eu.emsc/event/20230308_0000262,KO.KOZT,2.6,ev_KO_KOZT_.emsc_event_20230308_0000262.mseed,fail
quakeml:eu.emsc/event/20230308_0000262,KO.CEYT,2.6,ev_KO_CEYT_.emsc_event_20230308_0000262.mseed,ok
quakeml:eu.emsc/event/20230308_0000262,KO.TAHT,2.6,ev_KO_TAHT_.emsc_event_20230308_0000262.mseed,ok
quakeml:eu.emsc/event/20230308_0000262,KO.SARI,2.6,ev_KO_SARI_.emsc_event_20230308_0000262.mseed,ok
quakeml:eu.emsc/event/20230308_0000262,KO.URFA,2.6,ev_KO_URFA_.emsc_event_20230308_0000262.mseed,ok
quakeml:eu.emsc/event/20230308_0000262,KO.DARE,2.6,ev_KO_DARE_.emsc_event_20230308_0000262.mseed,ok
quakeml:eu.emsc/event/20230308_0000262,KO.KARA,2.6,ev_KO_KARA_.emsc_event_20230308_0000262.mseed,fail
quakeml:eu.emsc/event/20230308_0000262,KO.BNN,2.6,ev_KO_BNN_.emsc_event_20230308_0000262.mseed,ok
quakeml:eu.emsc/event/20230308_0000262,KO.MERS,2.6,ev_KO_MERS_.emsc_event_20230308_0000262.mseed,ok
quakeml:eu.emsc/event/20230308_0000262,KO.SVRC,2.6,ev_KO_SVRC_.emsc_event_20230308_0000262.mseed,ok
quakeml:eu.emsc/event/20230308_0000267,KO.GAZ,2.5,ev_KO_GAZ_.emsc_event_20230308_0000267.mseed,ok
quakeml:eu.emsc/event/20230308_0000267,KO.KMRS,2.5,ev_KO_KMRS_.emsc_event_20230308_0000267.mseed,ok
quakeml:eu.emsc/event/20230308_0000267,KO.KOZT,2.5,ev_KO_KOZT_.emsc_event_20230308_0000267.mseed,fail
quakeml:eu.emsc/event/20230308_0000267,KO.CEYT,2.5,ev_KO_CEYT_.emsc_event_20230308_0000267.mseed,ok
quakeml:eu.emsc/event/20230308_0000267,KO.TAHT,2.5,ev_KO_TAHT_.emsc_event_20230308_0000267.mseed,ok
quakeml:eu.emsc/event/20230308_0000267,KO.SARI,2.5,ev_KO_SARI_.emsc_event_20230308_0000267.mseed,ok
quakeml:eu.emsc/event/20230308_0000267,KO.URFA,2.5,ev_KO_URFA_.emsc_event_20230308_0000267.mseed,ok
quakeml:eu.emsc/event/20230308_0000267,KO.DARE,2.5,ev_KO_DARE_.emsc_event_20230308_0000267.mseed,ok
quakeml:eu.emsc/event/20230308_0000267,KO.KARA,2.5,ev_KO_KARA_.emsc_event_20230308_0000267.mseed,fail
quakeml:eu.emsc/event/20230308_0000267,KO.BNN,2.5,ev_KO_BNN_.emsc_event_20230308_0000267.mseed,ok
quakeml:eu.emsc/event/20230308_0000267,KO.MERS,2.5,ev_KO_MERS_.emsc_event_20230308_0000267.mseed,ok
quakeml:eu.emsc/event/20230308_0000267,KO.SVRC,2.5,ev_KO_SVRC_.emsc_event_20230308_0000267.mseed,ok
quakeml:eu.emsc/event/20230308_0000258,KO.GAZ,3.8,ev_KO_GAZ_.emsc_event_20230308_0000258.mseed,ok
quakeml:eu.emsc/event/20230308_0000258,KO.KMRS,3.8,ev_KO_KMRS_.emsc_event_20230308_0000258.mseed,ok
quakeml:eu.emsc/event/20230308_0000258,KO.KOZT,3.8,ev_KO_KOZT_.emsc_event_20230308_0000258.mseed,ok
quakeml:eu.emsc/event/20230308_0000258,KO.CEYT,3.8,ev_KO_CEYT_.emsc_event_20230308_0000258.mseed,ok
quakeml:eu.emsc/event/20230308_0000258,KO.TAHT,3.8,ev_KO_TAHT_.emsc_event_20230308_0000258.mseed,ok
quakeml:eu.emsc/event/20230308_0000258,KO.SARI,3.8,ev_KO_SARI_.emsc_event_20230308_0000258.mseed,ok
quakeml:eu.emsc/event/20230308_0000258,KO.URFA,3.8,ev_KO_URFA_.emsc_event_20230308_0000258.mseed,ok
quakeml:eu.emsc/event/20230308_0000258,KO.DARE,3.8,ev_KO_DARE_.emsc_event_20230308_0000258.mseed,ok
quakeml:eu.emsc/event/20230308_0000258,KO.KARA,3.8,ev_KO_KARA_.emsc_event_20230308_0000258.mseed,fail
quakeml:eu.emsc/event/20230308_0000258,KO.BNN,3.8,ev_KO_BNN_.emsc_event_20230308_0000258.mseed,ok
quakeml:eu.emsc/event/20230308_0000258,KO.MERS,3.8,ev_KO_MERS_.emsc_event_20230308_0000258.mseed,ok
